Titel;URL;Unterrubrik;Autor;Zusammenfassung;Keywords;ID;Artikeltyp;Deskriptoren;Organisationen;Personen;Orte;Ressort;Veröffentlicht;Aktualisiert
Nick Reiner Has Spoken Openly About His Struggles;https://www.nytimes.com/2025/12/15/us/nick-reiner-rob-reiner-son.html;;By Ali Watkins;He and his father, the director Rob Reiner, also worked together on a film that was loosely inspired by the son’s early life.;"Drug Abuse and Traffic;Addiction (Psychology);Movies;Reiner, Nick;Reiner, Rob;California";1E+14;Article;['Drug Abuse and Traffic', 'Addiction (Psychology)', 'Movies'];[];['Reiner, Nick', 'Reiner, Rob'];['California'];U.S.;15.12.25;16.12.25 04:39
Democrats Release Photos Showing Epstein Ties to Powerful Men;https://www.nytimes.com/2025/12/12/us/politics/jeffrey-epstein-photos-estate.html;Politics;By Michael Gold;The images, released without context by Democrats on the House Oversight Committee, revealed little new about the deceased sex offender’s ties to prominent men in politics, entertainment and finance.;"Human Trafficking;Sex Crimes;Child Abuse and Neglect;Prostitution;United States Politics and Government;Epstein, Jeffrey E (1953- );Trump, Donald J;Clinton, Bill;Bannon, Stephen K;Summers, Lawrence H;Gates, Bill;Allen, Woody;House Committee on Oversight and Government Reform;Democratic Party";1E+14;Article;['Human Trafficking', 'Sex Crimes', 'Child Abuse and Neglect', 'Prostitution', 'United States Politics and Government'];['House Committee on Oversight and Government Reform', 'Democratic Party'];['Epstein, Jeffrey E (1953- )', 'Trump, Donald J', 'Clinton, Bill', 'Bannon, Stephen K', 'Summers, Lawrence H', 'Gates, Bill', 'Allen, Woody'];[];U.S.;12.12.25;13.12.25 10:56
Colorado Officials Reject Trump’s ‘Pardon’ of a Convicted Election Denier;https://www.nytimes.com/2025/12/13/us/politics/trump-tina-peters.html;Politics;By Jack Healy;The president’s stated intention to pardon Tina Peters, jailed for tampering with election machines in 2020, has set off a legal fight over the extent of Mr. Trump’s pardon powers.;"Presidential Election of 2020;Voter Fraud (Election Fraud);Amnesties, Commutations and Pardons;Federal-State Relations (US);United States Politics and Government;Voting Machines;Peters, Tina;Trump, Donald J;Colorado;Mesa County (Colo)";1E+14;Article;['Presidential Election of 2020', 'Voter Fraud (Election Fraud)', 'Amnesties, Commutations and Pardons', 'Federal-State Relations (US)', 'United States Politics and Government', 'Voting Machines'];[];['Peters, Tina', 'Trump, Donald J'];['Colorado', 'Mesa County (Colo)'];U.S.;13.12.25;14.12.25 12:45
Scams, Schemes, Ruthless Cons: The Untold Story of How Jeffrey Epstein Got Rich;https://www.nytimes.com/2025/12/16/magazine/jeffrey-epstein-money-scams-investigation.html;;By David Enrich, Steve Eder, Jessica Silver-Greenberg and Matthew Goldstein;For years, rumors swirled about where his wealth came from. A Times investigation reveals the truth of how a college dropout clawed his way to the pinnacle of American finance and society.;"Frauds and Swindling;Human Trafficking;Sex Crimes;Epstein, Jeffrey E (1953- );Maxwell, Ghislaine;Rockefeller Family;Trump, Donald J;Wexner, Leslie H;Clinton, Bill;Bear Stearns Cos";1E+14;Article;['Frauds and Swindling', 'Human Trafficking', 'Sex Crimes'];['Bear Stearns Cos'];['Epstein, Jeffrey E (1953- )', 'Maxwell, Ghislaine', 'Rockefeller Family', 'Trump, Donald J', 'Wexner, Leslie H', 'Clinton, Bill'];[];Magazine;16.12.25;17.12.25 03:26
How Did the C.I.A. Lose a Nuclear Device?;https://www.nytimes.com/interactive/2025/12/13/world/asia/cia-nuclear-device-himalayas-nanda-devi.html;Asia Pacific;By Jeffrey Gettleman, Hari Kumar, Agnes Chang and Pablo Robles;A plutonium-packed generator disappeared on one of the world’s highest mountains in a covert mission that the U.S. will not talk about.;"Espionage and Intelligence Services;internal-open-access-from-nl;Central Intelligence Agency;Himalayas;India;China";1E+14;Interactive;['Espionage and Intelligence Services', 'internal-open-access-from-nl'];['Central Intelligence Agency'];[];['Himalayas', 'India', 'China'];World;13.12.25;16.12.25 22:33
Rob Reiner’s Son to Be Charged With Murder: What We Know;https://www.nytimes.com/2025/12/15/us/rob-reiner-michele-death-investigation.html;;By Jin Yu Young and Mark Walker;Nick Reiner will be charged with two counts of first-degree murder in the killing of his parents, prosecutors said.;"Murders, Attempted Murders and Homicides;Movies;Television;Celebrities;Reiner, Michele Singer;Reiner, Rob;Police Department (Los Angeles, Calif);Los Angeles (Calif);California";1E+14;Article;['Murders, Attempted Murders and Homicides', 'Movies', 'Television', 'Celebrities'];['Police Department (Los Angeles, Calif)'];['Reiner, Michele Singer', 'Reiner, Rob'];['Los Angeles (Calif)', 'California'];U.S.;15.12.25;16.12.25 18:54
Woody Allen Is Not Sorry About His Friendship With Jeffrey Epstein;https://www.nytimes.com/2025/12/13/style/allen-epstein.html;;By Ginia Bellafante;The nonagenarian director is taking a slightly different tack than many of the other powerful people associated with the disgraced former financier.;"Movies;Human Trafficking;Sex Crimes;Child Abuse and Neglect;Prostitution;Allen, Woody;Epstein, Jeffrey E (1953- )";1E+14;Article;['Movies', 'Human Trafficking', 'Sex Crimes', 'Child Abuse and Neglect', 'Prostitution'];[];['Allen, Woody', 'Epstein, Jeffrey E (1953- )'];[];Style;13.12.25;13.12.25 18:56
Nick Reiner’s Struggles With Drugs Left His Parents ‘Desperate’;https://www.nytimes.com/2025/12/15/movies/nick-reiner-drugs-rehab-heroin-cocaine.html;;By Julia Jacobs and Nicole Sperling;Mr. Reiner, who was arrested in connection with the deaths of Rob and Michele Reiner, once estimated he had been in drug treatment 18 times as a teenager.;"Drug Abuse and Traffic;Therapy and Rehabilitation;Movies;Murders, Attempted Murders and Homicides;Reiner, Nick;Reiner, Rob;Reiner, Michele Singer;Los Angeles (Calif)";1E+14;Article;['Drug Abuse and Traffic', 'Therapy and Rehabilitation', 'Movies', 'Murders, Attempted Murders and Homicides'];[];['Reiner, Nick', 'Reiner, Rob', 'Reiner, Michele Singer'];['Los Angeles (Calif)'];Movies;15.12.25;17.12.25 00:25
Bystander Tackled and Disarmed One of the Sydney Gunmen, Video Shows;https://www.nytimes.com/2025/12/14/world/australia/bondi-beach-gunman-tackled-video.html;Australia;By Amelia Nierenberg;The video, verified by The New York Times, shows a man sneaking up on one of the shooters who targeted a Hanukkah celebration in Sydney on Sunday.;"Sydney, Australia, Hanukkah Attack (Dec 14, 2025);Video Recordings, Downloads and Streaming;internal-open-access-from-nl;Sydney (Australia);Bondi Beach (Sydney, Australia)";1E+14;Article;['Sydney, Australia, Hanukkah Attack (Dec 14, 2025)', 'Video Recordings, Downloads and Streaming', 'internal-open-access-from-nl'];[];[];['Sydney (Australia)', 'Bondi Beach (Sydney, Australia)'];World;14.12.25;15.12.25 09:47
Home-Schooled Kids Are Not All Right;https://www.nytimes.com/2025/12/14/opinion/home-school-isolation.html;;By Stefan Merrill Block;Not once, in the four and a half years I learned at home, did anyone from the state come to assess what sort of education I was receiving or even just check on me.;"Home Schooling;Child Abuse and Neglect;Federal-State Relations (US);Parenting;Lobbying and Lobbyists;Coalition for Responsible Home Education;Home School Legal Defense Assn;Supreme Court (US);Texas;United States";1E+14;Article;['Home Schooling', 'Child Abuse and Neglect', 'Federal-State Relations (US)', 'Parenting', 'Lobbying and Lobbyists'];['Coalition for Responsible Home Education', 'Home School Legal Defense Assn', 'Supreme Court (US)'];[];['Texas', 'United States'];Opinion;14.12.25;15.12.25 16:09
He Tried to Protect His Son From Bullies. He Didn’t Know How Far They Would Go.;https://www.nytimes.com/2025/12/15/magazine/bullying-teenagers-gilbert-goons-gang.html;;By Matthew Shaer;After his son was repeatedly attacked, Rick Kuehner reached out to his suburban school, to the police and to other parents. The violence only got worse.;"Assaults;Bullies;Teenagers and Adolescence;Gilbert (Ariz)";1E+14;Article;['Assaults', 'Bullies', 'Teenagers and Adolescence'];[];[];['Gilbert (Ariz)'];Magazine;15.12.25;16.12.25 13:26
Why Won’t Senators Stand Up to Trump? We Asked 3 Who Called It Quits.;https://www.nytimes.com/2025/12/13/magazine/senators-manchin-flake-smith-interview.html;;By Lulu Garcia-Navarro;The current and former lawmakers get candid about bipartisan politics, party leadership and the state of the Senate.;"United States Politics and Government;Law and Legislation;Presidential Power (US);internal-open-access-audio;Flake, Jeffrey L;Smith, Tina F;Manchin, Joe III;Trump, Donald J;Senate;Republican Party;Democratic Party";1E+14;Article;['United States Politics and Government', 'Law and Legislation', 'Presidential Power (US)', 'internal-open-access-audio'];['Senate', 'Republican Party', 'Democratic Party'];['Flake, Jeffrey L', 'Smith, Tina F', 'Manchin, Joe III', 'Trump, Donald J'];[];Magazine;13.12.25;15.12.25 08:44
What Happens if You Refuse to Recognize That We Are in a Death Spiral;https://www.nytimes.com/2025/12/14/opinion/maga-right-wing-young-voters.html;;By David French;Remind me never to listen to what they are saying online about me.;"Social Media;Right-Wing Extremism and Alt-Right;Polls and Public Opinion;Youth;Parenting;Anton, Michael (1970- );Clubhouse (Mobile App);Republican Party";1E+14;Article;['Social Media', 'Right-Wing Extremism and Alt-Right', 'Polls and Public Opinion', 'Youth', 'Parenting'];['Clubhouse (Mobile App)', 'Republican Party'];['Anton, Michael (1970- )'];[];Opinion;14.12.25;15.12.25 16:02
